Country,Region,Population (millions),Ship transport Footprint,Air Transport Footprint,Railway Footprint,Truck Footprint,Cars Footprint,Total Ecological Footprint,Average Usage cost of CO2e/$,HDI,Household,Clothes,Electrical,Medical,Recreational,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
French Guiana,Latin America,0.24,0.17,1.58,0.46,0.06,0.07,2.34,,,0.07,0.06,95.16,16.07,0,111.35,109.01,1.35,0.02,3L
Samoa,Asia-Pacific,0.19,0.42,0.96,0.27,0.16,0.97,2.77,"$4,067.15 ",0.7,0.69,0.01,1.17,0.06,0,1.93,-0.85,1.6,1.44,3B
Sao Tome and Principe,Africa,0.19,0.47,0.37,0.27,0.02,0.36,1.49,"$1,384.53 ",0.55,0.25,0,0.22,0.4,0,0.87,-0.61,0.86,1.7,3B
Saint Lucia,Latin America,0.18,0.23,1.56,0.17,0.1,0.38,2.45,"$7,737.20 ",0.73,0.1,0,0.1,0.14,0,0.34,-2.1,1.41,7.12,3B
Saint Vincent and Grenadines,Latin America,0.11,,,,,,3.11,"$6,171.48 ",0.72,,,,,,1.26,-1.85,1.79,2.47,2
Aruba,Latin America,0.1,,,,,,11.88,,,,,,,,0.57,-11.31,6.86,20.69,2
Grenada,Latin America,0.1,,,,,,2.98,"$7,410.48 ",0.74,,,,,,1.96,-1.01,1.72,1.52,3L
Tonga,Asia-Pacific,0.1,0.18,0.88,0.14,0.32,1.19,2.7,"$4,330.90 ",0.72,0.83,0.02,0.11,0.52,0,1.48,-1.22,1.56,1.82,3B
Antigua and Barbuda,Latin America,0.09,,,,,,5.38,"$13,205.10 ",0.78,,,,,,0.94,-4.44,3.11,5.7,2
Dominica,Latin America,0.07,0.17,1.47,0.14,0.15,0.64,2.57,"$7,088.01 ",0.72,0.4,0.01,0.52,0.1,0,1.03,-1.54,1.49,2.49,5
Bermuda,North America,0.06,,,,,,5.77,"$70,626.30 ",,,,,,,0.13,-5.64,3.33,44.05,3T
Cayman Islands,Latin America,0.06,0.05,3.56,1.23,0.45,0.36,5.65,,,0,0.02,0.19,0.11,0,0.32,-5.33,3.26,17.91,3L
Saint Kitts and Nevis,Latin America,0.05,0.81,3.34,0.09,0.18,0.51,4.94,"$12,952.50 ",0.74,0.06,0.01,0.17,0.38,0,0.62,-4.31,2.85,7.92,3L
British Virgin Islands,Latin America,0.03,,,,,,2.86,,,,,,,,2.05,-0.81,1.65,1.4,3T
Nauru,Asia-Pacific,0.01,,,,,,2.94,,,,,,,,0.19,-2.76,1.7,15.83,2
Wallis and Futuna Islands,Asia-Pacific,0.01,,,,,,2.07,,,,,,,,1.51,-0.56,1.19,1.37,3T
Montserrat,Latin America,0,,,,,,7.78,,,,,,,,1.36,-6.42,4.49,5.71,2
