Country,Region,Population (millions),Ship transport Footprint,Air Transport Footprint,Railway Footprint,Truck Footprint,Cars Footprint,Total Ecological Footprint,Average Usage cost of CO2e/$,HDI,Household,Clothes,Electrical,Medical,Recreational,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
Dominican Republic,Latin America,10.28,0.04,0.86,0.12,0.12,0.35,1.53,"$6,085.89 ",0.71,0.22,0.11,0.16,0.02,0.05,0.56,-0.97,0.88,2.74,6
Somalia,Africa,10.2,0.01,0.07,0.52,0.43,0.16,1.24,,,0.09,0.56,0.22,0.33,0.06,1.27,0.03,0.71,0.98,5
Haiti,Latin America,10.17,0.01,0.15,0.1,0.04,0.27,0.61,$749.13 ,0.48,0.18,0.03,0.01,0.01,0.03,0.27,-0.34,0.35,2.28,6
Benin,Africa,10.05,0.08,0.51,0.26,0.04,0.49,1.41,$746.83 ,0.48,0.44,0.04,0.34,0.02,0.04,0.88,-0.53,0.81,1.61,6
Hungary,European Union,9.98,0.02,1.9,0.36,0.08,0.42,2.92,"$13,964.20 ",0.82,1.28,0.06,0.69,0,0.13,2.17,-0.75,1.69,1.34,5
Burundi,Africa,9.85,0,0.04,0.45,0.07,0.21,0.8,$276.69 ,0.39,0.2,0.07,0.01,0.01,0.03,0.32,-0.48,0.46,2.48,4
Serbia,Northern/Eastern Europe,9.55,0.02,1.66,0.46,0.02,0.49,2.7,"$6,426.18 ",0.76,0.73,0.02,0.46,0,0.04,1.25,-1.44,1.56,2.15,5
Sweden,European Union,9.51,0.09,3.88,1.3,0.27,1.47,7.25,"$59,381.90 ",0.9,1.31,0.22,6.66,2.19,0.24,10.62,3.38,4.19,0.68,5
Belarus,Northern/Eastern Europe,9.4,0.08,2.57,0.91,0.12,1.32,5.09,"$6,300.45 ",0.8,1.52,0.3,1.71,0.02,0.09,3.64,-1.45,2.94,1.4,6
Azerbaijan,Middle East/Central Asia,9.31,0.01,1.25,0.11,0.22,0.66,2.31,"$7,106.04 ",0.75,0.46,0.2,0.11,0.02,0.06,0.85,-1.46,1.33,2.72,6
United Arab Emirates,Middle East/Central Asia,9.206,0.19,6.37,0.38,0.19,0.8,7.93,"$40,817.40 ",0.83,0.02,0,0.07,0.47,0,0.56,-7.37,4.58,14.16071429,6
Austria,European Union,8.46,0.06,4.14,0.63,0.27,0.82,6.06,"$51,274.10 ",0.88,0.71,0.16,2.04,0,0.15,3.07,-3,3.5,1.98,5
